country,year,Government expenditure (% of GDP),Government revenue (% of GDP),Gross public debt (% of GDP),Interest on public debt (% of GDP),Primary balance (% of GDP),Primary expenditure (% of GDP),Real GDP growth rate (%),Real long-term bond yield (%)
Hungary,2011,49.060603047102,43.849209561275,80.338277793394,4.1341847674917,-1.0772087183348,44.92641827961,1.8668406413826,3.4504176708217
Hungary,2012,49.115836939816,46.791473809492,78.154596649521,4.5507976426641,2.2264345123405,44.565039297151,-1.2502290925344,2.0230865876962
Hungary,2013,50.061861030592,47.464378098467,77.198454409926,4.509618391967,1.9121354598426,45.552242638625,1.8025221008227,3.5343973796232
Hungary,2014,50.045821168285,47.270980045638,76.542064527508,3.9631641886026,1.1883230659552,46.082656979683,4.2322128976848,4.174982170241
Hungary,2015,50.379702820629,48.375706162579,75.76044224298,3.440281630774,1.4362849727242,46.939421189855,3.707309937375,2.743043215479
Hungary,2016,46.797618703694,45.000766157259,74.850305189658,3.0879913107713,1.2911387643368,43.709627392923,2.2010048158724,1.7291677603525
Hungary,2017,46.717738826494,44.258648882283,72.113749806269,2.6471165690471,0.18802662483684,44.070622257446,4.2719760162069,-0.63535764392553
Hungary,2018,46.095614071682,44.039055047041,69.079218037044,2.330671996102,0.27411297146063,43.76494207558,5.3623456780184,-0.67984501523819
Hungary,2019,46.0845150857,44.037836869667,65.33346861269,2.2251769075789,0.17849869154553,43.859338178121,4.8642309533314,-1.7933469886042
Hungary,2020,51.409831800424,43.849900816345,79.253621372791,2.3269731445531,-5.2329578395257,49.082858655871,-4.4870507966709,-1.7978919509405
Hungary,2021,48.404983485456,41.249827891424,76.689281113187,2.2527823895298,-4.902373204503,46.152201095927,7.0612233324191,-2.7396547894653
Hungary,2022,48.939498887565,42.711384775166,74.064756375063,2.8362857899168,-3.3918283224829,46.103213097649,4.5834076729507,-6.5086015724037
Hungary,2023,49.114585020318,42.422595356614,73.45312426138,4.708441008643,-1.9835486550606,44.406144011675,-0.90768822742199,-9.1447152808138
India,2005,26.876347487562,19.383784721362,82.377825890042,5.613070016767,-1.8794927494336,21.263277470795,9.2847162891977,3.1249803588094
India,2006,26.909660534524,20.529410313,77.941103663538,5.4233858173331,-0.95686440419028,21.48627471719,9.2641198451136,1.2394034482629
India,2007,26.944679565432,22.358216328547,75.455096650921,5.2807706597314,0.69430742284624,21.663908905701,9.8013942952196,1.4327930689938
India,2008,29.293117343562,20.122135052547,74.367659211302,5.1361553457922,-4.0348269452228,24.156961997769,3.890894976417,-2.0475437504009
India,2009,28.543001471787,18.842115415124,72.769814001926,4.9911237259303,-4.7097623307327,23.551877745857,8.4798532724988,-4.4894133730212
India,2010,27.985310178703,19.190382174532,67.701786780877,4.5566894623988,-4.2382385417717,23.428620716304,10.259974743522,-2.5060469073149
India,2011,27.640581685902,19.291430039845,68.647828516093,4.5777539309985,-3.7713977150588,23.062827754904,5.2412651603857,0.44867682279093
India,2012,27.363855024281,19.814295339606,67.984531684904,4.5677280091231,-2.9818316755513,22.796127015158,5.4564101859705,-2.0389290754804
India,2013,26.599948101753,19.600329905497,67.713352890278,4.7551113987423,-2.2445067975132,21.84483670301,6.386071016887,-0.50551688311653
India,2014,26.220442077132,19.149373514192,67.102041059827,4.6879942669049,-2.3830742960356,21.532447810227,7.4101885756787,2.0845087266251
India,2015,27.058974489303,19.853890285052,69.048587042646,4.705607662576,-2.4994765416751,22.353366826727,7.9962612809862,3.186752475109
India,2016,27.232843544593,20.112833830093,68.94309137139,4.7067342270202,-2.4132754874791,22.526109317572,8.2563070111324,2.6477038497524
India,2017,26.231662594119,20.004426900113,69.669382586151,4.8102434341874,-1.4169922598191,21.421419159932,6.7953939612567,3.8333141185498
India,2018,26.327665031804,19.951849572899,70.392344440794,4.7694889222934,-1.606326536611,21.55817610951,6.4538387685266,4.1744197530867
India,2019,26.845837549413,19.151764829068,75.040396296632,4.7541898685757,-2.9398828517693,22.091647680837,3.8714606182703,
India,2020,31.019246231257,18.15482744622,88.426607962688,5.6944126805043,-7.1700061045325,25.324833550753,-5.7777144807164,
India,2021,29.705921991406,20.438265503827,83.486537886815,5.2782944180291,-3.98936206955,24.427627573377,9.6896137020651,
India,2022,29.14505051086,19.950325653733,81.683465742309,5.0269354889581,-4.167789368169,24.118115021902,6.9870222376072,
India,2023,29.115080610512,20.795063800578,83.020485964203,5.4108437932845,-2.9091730166498,23.704236817228,8.152914830852,
Indonesia,2005,17.397795496962,17.859578092103,42.611727208196,2.1608051292476,2.6225877243885,15.236990367715,5.6925749694469,3.1591347108572
Indonesia,2006,18.416572790042,18.867516191851,35.84773408699,2.1774941170928,2.6284375189018,16.239078672949,5.5009509994687,-2.9258633246882
Indonesia,2007,18.734886075426,17.782203540012,38.120939512557,1.8572095397808,0.90452700436652,16.877676535645,6.3450217316217,3.6978127817306
Indonesia,2008,19.394001295323,19.448114296579,30.252037460226,1.6331004575941,1.6872134588498,17.760900837729,7.4417731502149,2.0209191053727
Indonesia,2009,17.026653036951,15.382277681895,26.483125740783,1.560076721216,-0.084298633840072,15.466576315735,4.7017685170506,5.2571817729552
Indonesia,2010,16.886546918898,15.644106600895,26.3631251556,1.2876095564653,0.04516923846289,15.598937362432,6.3776256856567,2.4651955866317
Indonesia,2011,17.713702201453,17.010163778596,23.106017753941,1.1908230701636,0.48728464730679,16.522879131289,6.1697842077101,0.68167986298217
Indonesia,2012,18.835804386345,17.24934557499,22.95466377706,1.1666601843181,-0.41979862703763,17.669144202027,6.0300506530561,1.2119235672883
Indonesia,2013,19.081188670233,16.864417379831,24.884377277754,1.1840970437203,-1.0326742466821,17.897091626513,5.5572636889101,2.0418545171379
Indonesia,2014,18.364756111034,16.560216584279,24.645273175213,1.2624855302257,-0.54205399652919,17.102270580808,5.006668425755,1.3968084656575
