country,year,Government expenditure (% of GDP),Government revenue (% of GDP),Gross public debt (% of GDP),Interest on public debt (% of GDP),Primary balance (% of GDP),Primary expenditure (% of GDP),Real GDP growth rate (%),Real long-term bond yield (%)
India,2009,28.543001471787,18.842115415124,72.769814001926,4.9911237259303,-4.7097623307327,23.551877745857,8.4798532724988,-4.4894133730212
India,2010,27.985310178703,19.190382174532,67.701786780877,4.5566894623988,-4.2382385417717,23.428620716304,10.259974743522,-2.5060469073149
India,2011,27.640581685902,19.291430039845,68.647828516093,4.5777539309985,-3.7713977150588,23.062827754904,5.2412651603857,0.44867682279093
India,2012,27.363855024281,19.814295339606,67.984531684904,4.5677280091231,-2.9818316755513,22.796127015158,5.4564101859705,-2.0389290754804
India,2013,26.599948101753,19.600329905497,67.713352890278,4.7551113987423,-2.2445067975132,21.84483670301,6.386071016887,-0.50551688311653
India,2014,26.220442077132,19.149373514192,67.102041059827,4.6879942669049,-2.3830742960356,21.532447810227,7.4101885756787,2.0845087266251
India,2015,27.058974489303,19.853890285052,69.048587042646,4.705607662576,-2.4994765416751,22.353366826727,7.9962612809862,3.186752475109
India,2016,27.232843544593,20.112833830093,68.94309137139,4.7067342270202,-2.4132754874791,22.526109317572,8.2563070111324,2.6477038497524
India,2017,26.231662594119,20.004426900113,69.669382586151,4.8102434341874,-1.4169922598191,21.421419159932,6.7953939612567,3.8333141185498
India,2018,26.327665031804,19.951849572899,70.392344440794,4.7694889222934,-1.606326536611,21.55817610951,6.4538387685266,4.1744197530867
India,2019,26.845837549413,19.151764829068,75.040396296632,4.7541898685757,-2.9398828517693,22.091647680837,3.8714606182703,
India,2020,31.019246231257,18.15482744622,88.426607962688,5.6944126805043,-7.1700061045325,25.324833550753,-5.7777144807164,
India,2021,29.705921991406,20.438265503827,83.486537886815,5.2782944180291,-3.98936206955,24.427627573377,9.6896137020651,
India,2022,29.14505051086,19.950325653733,81.683465742309,5.0269354889581,-4.167789368169,24.118115021902,6.9870222376072,
India,2023,29.115080610512,20.795063800578,83.020485964203,5.4108437932845,-2.9091730166498,23.704236817228,8.152914830852,
Indonesia,2005,17.397795496962,17.859578092103,42.611727208196,2.1608051292476,2.6225877243885,15.236990367715,5.6925749694469,3.1591347108572
Indonesia,2006,18.416572790042,18.867516191851,35.84773408699,2.1774941170928,2.6284375189018,16.239078672949,5.5009509994687,-2.9258633246882
